file,emotion
000-001,happiness
000-002,happiness
000-003,happiness
000-004,happiness
000-005,happiness
000-006,happiness
000-007,happiness
000-008,happiness
000-009,happiness
000-010,happiness
000-012,happiness
000-014,happiness
000-015,happiness
000-017,happiness
000-021,happiness
000-037,happiness
000-038,happiness
000-045,happiness
000-047,happiness
000-048,happiness
000-051,surprise
000-052,surprise
000-053,surprise
000-055,surprise
000-056,surprise
000-061,surprise
000-062,surprise
000-063,surprise
000-066,surprise
000-070,surprise
000-072,surprise
000-076,surprise
000-083,surprise
000-087,surprise
000-088,surprise
000-089,surprise
000-091,surprise
000-092,surprise
000-097,surprise
000-099,surprise
000-101,neutral
000-102,neutral
000-103,neutral
000-105,neutral
000-107,neutral
000-108,neutral
000-109,neutral
000-110,neutral
000-111,neutral
000-113,neutral
000-114,neutral
000-115,neutral
000-116,neutral
000-118,neutral
000-119,neutral
000-120,neutral
000-123,neutral
000-124,neutral
000-127,neutral
000-128,neutral
000-151,fear
000-152,fear
000-153,fear
000-154,fear
000-158,fear
000-171,fear
000-172,fear
000-179,fear
000-181,fear
000-182,fear
000-183,fear
000-184,fear
000-185,fear
000-186,fear
000-187,fear
000-189,fear
000-192,fear
000-197,fear
000-199,fear
000-200,fear
000-201,disgust
000-202,disgust
000-204,disgust
000-206,disgust
000-208,disgust
000-209,disgust
000-210,disgust
000-211,disgust
000-212,disgust
000-216,disgust
000-218,disgust
000-221,disgust
000-222,disgust
000-225,disgust
000-232,disgust
000-238,disgust
000-241,disgust
000-244,disgust
000-245,disgust
000-248,disgust
000-251,anger
000-252,anger
000-255,anger
000-257,anger
000-258,anger
000-263,anger
000-264,anger
000-267,anger
000-271,anger
000-275,anger
000-277,anger
000-280,anger
000-285,anger
000-287,anger
000-289,anger
000-292,anger
000-294,anger
000-296,anger
000-297,anger
000-298,anger
000-301,sadness
000-302,sadness
000-305,sadness
000-313,sadness
000-314,sadness
000-321,sadness
000-323,sadness
000-326,sadness
000-328,sadness
000-329,sadness
000-331,sadness
000-336,sadness
000-339,sadness
000-342,sadness
000-343,sadness
000-344,sadness
000-346,sadness
000-347,sadness
000-348,sadness
000-349,sadness
001-003,happiness
001-004,happiness
001-011,happiness
001-012,happiness
001-013,happiness
001-014,happiness
001-015,happiness
001-016,happiness
001-017,happiness
001-020,happiness
001-021,happiness
001-022,happiness
001-023,happiness
001-024,happiness
001-026,happiness
001-027,happiness
001-028,happiness
001-029,happiness
001-030,happiness
001-031,happiness
001-032,happiness
001-033,happiness
001-036,happiness
001-037,happiness
001-040,happiness
001-042,happiness
001-043,happiness
001-045,happiness
001-046,happiness
001-047,happiness
001-048,happiness
001-050,happiness
001-051,surprise
001-056,surprise
001-060,surprise
001-061,surprise
001-062,surprise
001-063,surprise
001-066,surprise
001-068,surprise
001-069,surprise
001-070,surprise
001-071,surprise
001-073,surprise
001-075,surprise
001-078,surprise
001-082,surprise
001-085,surprise
001-086,surprise
001-087,surprise
001-088,surprise
001-089,surprise
001-090,surprise
001-091,surprise
001-092,surprise
001-093,surprise
001-094,surprise
001-095,surprise
001-096,surprise
001-097,surprise
001-098,surprise
001-099,surprise
001-100,surprise
001-101,neutral
001-102,neutral
001-103,neutral
001-104,neutral
001-105,neutral
001-106,neutral
001-108,neutral
001-109,neutral
001-112,neutral
001-113,neutral
001-114,neutral
001-116,neutral
001-117,neutral
001-118,neutral
001-119,neutral
001-121,neutral
001-123,neutral
001-124,neutral
001-125,neutral
001-128,neutral
001-140,neutral
001-141,neutral
001-142,neutral
001-143,neutral
001-144,neutral
001-145,neutral
001-146,neutral
001-147,neutral
001-148,neutral
001-149,neutral
001-150,neutral
001-151,fear
001-152,fear
001-153,fear
001-155,fear
001-156,fear
001-157,fear
001-158,fear
001-162,fear
001-165,fear
001-166,fear
001-167,fear
001-168,fear
001-169,fear
001-170,fear
001-171,fear
001-173,fear
001-176,fear
001-177,fear
001-178,fear
001-181,fear
001-182,fear
001-191,fear
001-192,fear
001-193,fear
001-194,fear
001-195,fear
001-196,fear
001-197,fear
001-198,fear
001-199,fear
001-200,fear
001-202,disgust
001-203,disgust
001-204,disgust
001-206,disgust
001-208,disgust
001-209,disgust
001-210,disgust
001-211,disgust
001-212,disgust
001-213,disgust
001-214,disgust
001-215,disgust
001-217,disgust
001-219,disgust
001-220,disgust
001-221,disgust
001-223,disgust
001-224,disgust
001-225,disgust
001-226,disgust
001-237,disgust
001-241,disgust
001-242,disgust
001-243,disgust
001-244,disgust
001-245,disgust
001-246,disgust
001-247,disgust
001-248,disgust
001-249,disgust
001-250,disgust
001-251,anger
001-252,anger
001-254,anger
001-255,anger
001-256,anger
001-257,anger
001-258,anger
001-259,anger
001-260,anger
001-261,anger
001-262,anger
001-264,anger
001-266,anger
001-268,anger
001-270,anger
001-271,anger
001-272,anger
001-274,anger
001-275,anger
001-277,anger
001-287,anger
001-288,anger
001-291,anger
001-292,anger
001-293,anger
001-294,anger
001-295,anger
001-296,anger
001-297,anger
001-299,anger
001-300,anger
001-301,sadness
001-302,sadness
001-305,sadness
001-306,sadness
001-308,sadness
